wordA,wordB,wordC,wordD,mean_rating,num_ratings
hat,head,mask,face,6.65,20
mask,face,disguise,identity,5.65,20
hat,head,disguise,identity,3.2,20
foot,shoe,wrist,bracelet,6.2,20
wrist,bracelet,wall,painting,5.75,20
foot,shoe,wall,painting,3.55,20
dog,mailman,cat,mouse,5.5,20
cat,mouse,horse,hay,3.95,20
dog,mailman,horse,hay,2.3,20
nurse,patient,mother,baby,5.55,20
mother,baby,frog,tadpole,6.35,20
nurse,patient,frog,tadpole,2.45,20
cocoon,butterfly,egg,chicken,5.95,20
egg,chicken,wine,vineyard,4.9,20
cocoon,butterfly,wine,vineyard,3.05,20
person,clothes,bird,feathers,6.3,20
bird,feathers,cat,whiskers,5.35,20
person,clothes,cat,whiskers,3.35,20
student,backpack,snail,shell,5.15,20
snail,shell,rabbit,burrow,4.95,20
student,backpack,rabbit,burrow,2.75,20
wedding,bride,aquarium,fish,3.75,20
aquarium,fish,carton,milk,5.4,20
wedding,bride,carton,milk,3.7,20
flock,bird,hive,bee,6.35,20
hive,bee,hangar,airplane,5.75,20
flock,bird,hangar,airplane,3.35,20
lawyer,books,chemist,beakers,5.8,20
chemist,beakers,librarian,books,5.8,20
lawyer,books,librarian,books,2.65,20
veil,face,password,access,3.9,20
password,access,key,safe,5.4,20
veil,face,key,safe,2.5,20
pride,lion,brain,neuron,4.2,20
brain,neuron,computer,chip,5.95,20
pride,lion,computer,chip,3.0,20
